Account Length,Day Mins,VMail Message,Day Charge,Night Mins,Night Charge,Intl Mins,Intl Charge,CustServ Calls,Churn
4,448.8,0,44.08,48.4,8.49,8.4,4.0,0,0
229,222.2,22,29.26,280.0,6.28,28.9,8.28,2,1
125,240.7,0,40.92,187.1,8.42,10.1,2.73,0,1
23,300.2,0,32.02,292.2,3.33,2.2,2.92,2,0
24,222.2,0,24.02,230.2,2.24,24.2,4.2,0,0
222,2211.2,0,116.62,262.6,22.92,2.2,2.92,11,0
222,282.2,0,26.22,292.2,8.82,8.8,2.8,2,1
94,229.9,29,40.44,232.4,2.49,22.4,4.23,4,0
54,474.8,48,49.44,445.5,44.05,40.6,4.86,4,0
2,2112.2,0,22.26,292.6,11.62,9.2,2.26,2,1
484,444.8,0,86.04,444.4,6.49,40.8,4.94,0,0
82,206.8,80,28.32,288.6,8.29,8.2,2.82,2,0
21111,2611.2,0,211.22,110.2,11.62,11.9,2.2,11,0
2112,21111.11,0,112.211,260.2,2.211,6.2,2.611,2,0
90,222.8,22,22.22,222.2,20.0,6.2,2.28,2,0
204,294.4,24,42.9,222.2,22.23,4.4,2.4,0,0
468,444.6,88,48.94,464.6,44.04,46.0,4.84,0,0
42,209.4,0,44.32,242.3,3.93,9.9,2.32,2,0
69,222.0,0,1111.119,269.2,2.62,11.9,2.2,2,0
82,229.9,29,22.88,282.2,22.88,28.0,8.82,2,0
228,289.8,0,22.22,226.9,20.22,22.0,8.22,0,0
21111,202.2,211,112.22,2112.11,6.92,22.9,11.211,2,1
60,911.2,0,26.69,2211.6,20.06,9.11,2.112,2,0
89,282.2,0,82.82,202.2,2.22,28.2,8.86,2,0
32,298.2,0,80.68,322.2,9.66,9.2,2.62,2,1
84,484.8,0,89.84,64.4,8.08,48.0,8.84,4,0
88,802.8,0,82.26,282.9,8.98,28.2,8.62,2,1
28,328.2,0,29.82,322.2,8.82,32.2,8.29,0,0
32,232.0,0,26.23,232.6,22.92,20.2,2.23,2,0
322,289.9,0,20.28,209.8,9.28,9.8,2.68,0,0
33,223.2,0,29.32,232.9,6.22,9.2,2.23,3,1
288,202.0,0,82.82,298.2,8.29,20.2,2.82,2,0
209,222.2,29,23.9,222.2,20.22,9.0,2.23,6,1
92,226.2,0,26.92,2112.11,20.22,11.9,2.2,0,1
222,222.11,0,116.211,2112.2,11.22,22.0,11.22,2,0
268,222.6,88,28.92,262.6,22.02,26.0,2.82,0,0
68,288.8,0,22.0,298.2,8.92,20.8,2.28,2,0
444,446.9,89,49.84,489.9,48.08,44.8,8.84,0,0
282,229.8,0,22.82,222.2,2.82,20.2,2.89,2,1
204,204.0,0,22.42,220.2,2.33,2.9,2.24,2,0
440,480.6,0,48.6,484.9,40.48,6.4,4.48,4,0
222,222.2,0,116.92,21111.2,11.116,9.2,2.112,2,0
282,268.2,0,32.32,82.8,8.92,6.2,2.62,2,0
28,822.6,0,88.28,288.2,22.88,8.2,2.82,2,1
242,292.2,24,42.23,242.2,22.22,20.9,2.92,2,0
86,94.8,0,48.48,448.4,6.69,8.8,4.88,4,0
112,2211.11,26,22.2,2211.11,2.11,9.0,2.211,2,0
32,223.2,0,22.23,232.2,22.93,2.3,2.22,2,0
488,408.4,0,84.88,496.0,8.84,8.9,4.4,0,0
440,496.4,0,88.84,488.9,6.44,44.9,8.48,8,0
159,114.8,0,19.52,259.0,11.66,12.2,3.29,0,0
44,242.2,42,40.4,224.0,20.23,4.0,2.44,2,0
232,222.2,0,22.22,323.3,22.32,22.3,3.29,2,0
224,92.3,0,24.22,249.4,2.29,22.2,4.49,4,0
105,109.6,31,18.63,321.2,14.45,8.3,2.24,4,1
242,222.9,20,22.29,290.0,24.04,20.4,2.92,2,0
28,292.8,0,88.32,200.8,2.82,20.8,2.92,2,0
1111,2112.11,0,112.011,229.2,6.22,2.11,2.011,2,0
202,223.6,0,22.26,202.2,9.32,6.2,2.63,3,0
228,208.0,28,82.88,288.6,2.22,20.2,2.28,2,0
222,228.2,0,22.22,222.0,9.68,20.9,2.92,2,0
90,294.4,22,42.43,222.2,9.34,22.2,4.0,0,0
209,2211.9,0,112.22,21111.6,2.22,22.11,11.011,2,0
202,280.2,28,22.68,286.9,6.26,28.8,8.89,2,0
484,448.4,0,44.88,464.6,4.84,44.4,8.49,0,0
464,460.6,0,44.8,484.4,8.44,9.0,4.48,4,0
50,454.4,0,44.49,406.9,9.54,5.6,4.54,5,1
229,240.2,0,49.22,294.4,4.94,2.3,2.04,4,0
1111,2112.0,0,22.22,2110.0,11.2,211.11,11.611,0,0
20,222.8,88,29.26,268.6,2.28,2.2,2.92,0,0
282,290.8,32,82.88,328.2,9.32,20.6,2.86,2,0
244,232.2,0,22.43,230.2,22.22,22.2,4.29,2,0
22,222.2,0,29.6,282.6,22.89,8.8,2.22,2,0
458,455.9,0,46.5,444.0,9.95,8.6,4.54,4,0
222,220.8,0,28.99,286.0,6.22,9.6,2.89,2,1
82,262.2,0,28.32,282.2,8.28,9.2,2.82,6,1
98,262.9,0,28.82,262.2,32.82,32.8,8.08,8,1
80,326.8,0,32.02,320.8,9.26,2.2,2.92,2,1
32,262.6,33,22.22,262.3,22.26,22.2,3.29,2,0
20,282.2,0,22.9,260.2,22.22,2.6,2.08,8,0
222,222.11,0,22.62,2011.11,9.2,211.11,11.119,0,1
36,20.2,0,22.02,222.6,2.36,0.0,0.0,2,0
8,228.2,86,20.08,208.9,2.68,22.9,8.22,2,0
202,293.9,22,32.96,296.3,3.33,22.6,3.2,0,0
288,288.9,0,26.8,322.0,9.98,8.6,2.82,2,0
220,2911.11,0,29.116,266.9,22.02,22.11,11.92,0,1
444,444.8,0,49.88,488.8,4.48,4.9,4.48,4,1
288,208.9,0,88.0,209.0,9.2,22.2,8.22,0,0
63,223.2,0,30.33,233.2,22.32,3.2,2.22,2,0
22,229.2,22,211.2,222.11,2.112,20.2,2.211,2,0
226,289.2,0,20.28,288.8,8.26,22.2,8.08,2,1
28,282.9,0,32.99,268.9,32.88,9.8,2.82,8,0
200,21111.0,0,112.211,222.9,22.112,11.2,2.1111,2,0
98,62.6,22,20.98,222.8,22.02,0.0,0.0,2,0
2112,202.2,0,22.2,2911.11,11.911,2.11,2.011,2,0
84,466.4,0,48.48,440.4,9.94,48.4,8.86,4,0
24,292.4,0,44.22,200.4,2.42,20.4,2.92,2,0
444,454.6,0,44.54,447.9,5.76,44.7,5.45,4,1
63,230.3,0,30.69,232.3,20.26,20.6,2.36,0,0
206,288.2,0,32.28,282.9,8.29,20.2,2.89,2,1
228,289.2,0,22.08,202.2,9.22,6.8,2.26,2,0
22,262.11,0,22.26,11211.0,22.211,11.6,2.112,2,0
8,499.4,0,88.86,444.0,9.68,48.8,8.89,8,0
242,243.2,0,20.29,292.0,4.32,24.4,4.24,2,1
82,288.8,20,22.66,222.9,22.28,28.8,8.68,2,0
99,222.2,0,29.3,222.3,9.42,2.2,2.04,2,0
232,223.0,0,32.06,269.2,22.22,22.2,3.33,0,1
28,209.8,0,28.62,222.6,22.22,2.9,2.82,2,0
484,444.0,0,44.48,448.4,8.46,44.8,8.84,0,0
465,449.6,45,57.55,444.7,40.94,45.8,5.75,4,0
84,464.6,88,44.44,464.8,44.46,44.4,8.49,4,0
82,290.2,0,82.88,222.8,22.22,9.8,2.68,2,0
64,484.4,44,80.96,464.4,4.44,40.6,4.86,4,0
90,444.8,0,84.44,448.8,9.44,8.4,4.44,4,0
2211,2911.2,22,1111.211,2211.2,2.29,22.11,11.1111,2,0
86,480.9,0,48.68,464.4,4.88,44.4,8.46,8,0
26,322.2,0,86.2,322.8,2.99,8.2,2.32,2,0
226,21111.0,211,211.02,222.11,22.11,22.11,11.29,2,0
208,290.9,0,82.28,280.2,20.88,2.8,2.22,2,0
131,170.8,23,29.04,294.5,13.25,12.7,3.43,1,0
468,448.9,44,49.9,444.8,4.88,4.8,4.94,4,0
92,222.2,0,116.22,222.11,9.96,9.0,2.211,2,0
242,223.2,0,40.02,223.4,2.94,9.2,2.23,2,0
90,282.9,0,26.82,320.0,9.28,32.2,8.29,2,0
229,69.2,0,22.211,2112.2,11.211,6.11,2.2,2,0
44,400.4,0,84.04,484.4,6.84,40.0,4.4,4,0
20,202.2,0,32.8,269.2,2.62,28.8,2.32,8,0
211,292.11,0,1111.22,200.11,2.112,20.11,2.92,2,0
226,262.6,0,22.98,280.2,20.82,8.0,2.26,0,0
282,292.2,28,82.26,282.2,32.32,20.9,2.92,2,0
320,99.2,0,26.9,322.2,9.82,26.2,2.82,2,0
92,292.2,0,1111.112,292.0,11.62,22.0,2.92,2,0
74,154.1,27,26.2,276.7,12.45,13.2,3.56,4,0
21111,262.2,0,22.62,226.11,6.119,11.11,2.22,2,0
24,249.2,0,22.24,203.2,9.4,9.4,2.42,2,0
228,298.8,0,82.98,222.8,2.28,20.6,2.86,2,0
486,488.4,0,84.48,400.4,9.04,40.4,4.84,4,0
82,320.2,82,88.32,268.2,2.89,9.2,2.62,0,0
26,233.2,0,26.02,223.2,6.62,20.2,2.39,2,0
86,288.2,0,28.02,222.0,6.89,2.2,2.29,2,0
440,444.4,0,56.06,467.4,7.54,5.5,4.45,4,1
88,268.8,0,28.2,282.8,6.92,20.9,2.92,0,0
92,220.2,1111,211.92,2011.9,2.22,22.11,11.26,2,0
21111,222.11,0,20.1111,292.11,11.9,11.0,2.26,2,0
280,226.8,0,29.92,262.9,2.29,22.8,8.08,2,0
92,263.2,32,23.63,292.3,3.63,3.3,2.3,0,0
82,222.6,89,29.99,286.2,20.62,22.8,8.08,2,0
98,468.4,40,48.44,448.8,40.98,9.8,4.68,0,0
3,244.3,0,42.22,224.3,4.02,20.2,2.24,2,0
222,2211.2,0,116.62,262.6,22.92,2.2,2.92,11,0
222,288.2,86,82.22,268.8,22.88,22.2,8.02,2,0
94,409.8,0,48.64,406.4,9.8,44.4,8.0,4,0
282,286.2,0,20.29,292.0,8.62,28.8,8.28,2,1
94,224.2,44,43.44,202.2,9.44,20.2,2.49,2,0
222,220.0,28,28.2,282.8,20.68,6.2,2.28,2,0
26,289.2,88,82.28,268.2,2.26,20.0,2.2,2,0
448,489.8,48,49.44,449.4,8.86,9.8,4.84,4,0
29,320.9,0,82.88,262.0,2.28,32.2,8.29,2,0
94,98.8,44,48.9,440.4,40.88,9.9,4.64,0,0
211,290.11,0,112.119,262.2,2.112,211.2,11.112,2,0
66,2011.2,0,112.112,2119.9,22.2,9.2,2.211,2,0
229,280.0,0,28.8,262.2,22.28,22.8,8.88,2,0
223,220.2,0,20.92,232.2,3.22,20.2,2.23,0,1
92,222.2,88,22.22,220.0,9.28,8.9,2.2,2,0
222,240.0,0,24.4,290.3,4.44,9.2,2.42,0,0
28,222.2,22,28.99,222.8,2.82,28.2,8.86,2,0
22,222.11,0,22.02,222.11,20.22,22.2,11.02,2,0
98,282.2,0,28.92,282.2,22.88,6.6,2.28,8,0
82,222.0,0,86.89,282.8,6.02,22.8,8.29,2,0
280,209.9,29,88.68,322.9,6.89,6.6,2.28,0,0
84,191.0,0,32.47,247.3,11.13,6.5,1.76,0,0
88,464.4,0,44.4,446.0,4.94,9.8,4.68,0,0
92,208.0,0,88.86,26.2,8.32,8.6,2.82,0,0
94,224.3,0,22.43,244.4,22.29,3.4,2.2,3,0
208,222.2,22,26.2,299.6,28.28,20.8,2.92,8,0
90,229.2,0,80.28,222.2,8.28,20.6,2.86,8,0
268,280.8,0,28.89,822.6,22.02,20.8,2.28,2,0
92,222.8,82,29.29,228.2,20.22,22.8,8.29,2,0
62,209.2,0,211.1111,92.2,2.2,20.9,2.92,2,0
206,222.2,0,26.611,260.11,2.22,6.0,2.62,2,0
404,444.8,0,44.44,498.4,8.69,48.4,8.64,0,0
229,230.2,23,30.22,263.3,22.93,22.6,3.2,3,0
23,290.3,0,32.39,262.2,2.32,23.2,3.32,2,0
202,206.6,0,33.22,229.9,22.23,22.6,3.92,0,0
32,288.9,0,82.6,282.8,32.2,32.8,8.08,8,0
44,224.4,0,40.2,224.9,4.04,4.3,2.42,4,0
202,233.3,0,26.23,296.3,3.33,22.6,3.23,2,0
88,328.6,0,86.68,322.8,2.32,32.8,8.29,8,0
93,233.2,0,20.23,290.0,3.33,22.3,3.29,2,0
2110,222.2,211,29.611,202.6,9.02,22.0,2.92,2,0
92,222.2,0,43.22,222.4,9.93,9.0,2.24,2,0
119,2119.2,0,112.211,220.6,9.911,2.2,2.0,0,0
22,244.2,0,23.22,242.2,2.2,9.0,2.24,0,0
450,474.4,48,49.65,404.6,9.07,44.0,4.97,4,0
80,220.0,0,82.2,268.2,2.88,22.2,8.22,2,0
449,484.0,46,44.44,408.8,9.46,44.6,8.48,4,0
123,146.6,33,24.92,220.4,9.92,2.9,0.78,0,0
32,232.2,0,24.22,240.3,20.44,22.4,2.32,2,1
202,222.11,0,29.112,1102.11,211.69,22.0,11.22,0,0
24,224.2,0,22.44,222.2,9.94,2.2,2.92,2,0
224,244.4,0,23.22,242.9,20.22,2.3,2.04,2,0
84,444.4,0,86.8,448.4,8.88,9.4,4.84,4,0
82,280.2,82,32.32,289.2,28.02,28.8,8.68,2,0
202,322.2,32,29.2,326.8,2.98,28.0,8.82,2,0
484,440.8,0,48.49,469.8,4.68,40.8,4.84,8,0
92,226.2,0,22.89,282.6,2.09,22.2,8.22,2,1
86,266.2,0,28.28,328.2,20.26,8.2,2.26,2,0
22,2911.2,1111,112.911,21111.0,6.22,22.6,11.92,2,0
21111,222.11,0,20.011,222.2,20.911,22.11,11.29,0,1
74,477.4,0,50.46,457.5,40.68,44.0,5.44,0,0
82,288.8,22,28.09,292.2,8.66,22.8,8.82,2,0
229,92.2,0,26.02,203.2,9.22,2.3,2.92,2,0
49,224.2,0,40.44,242.9,4.92,9.2,2.23,2,0
68,222.8,0,22.28,228.9,20.8,2.8,2.08,2,0
222,288.2,0,82.22,282.2,6.88,9.2,2.26,0,0
200,226.6,28,22.92,289.8,8.82,28.0,8.82,2,0
90,82.8,0,6.28,328.0,2.88,32.2,8.88,8,0
47,455.5,0,46.4,447.0,44.44,44.5,5.54,5,0
229,209.2,0,211.116,220.0,20.11,9.11,2.611,2,0
32,239.3,0,22.22,223.2,3.22,9.2,2.62,2,0
228,200.2,0,82.08,290.9,8.89,8.8,2.88,2,0
446,444.6,0,88.94,488.8,6.94,4.8,4.44,4,0
28,282.8,0,28.82,288.9,6.98,28.0,2.08,2,0
92,249.2,0,24.2,224.2,4.22,2.2,2.04,0,0
95,466.0,0,45.44,465.8,7.46,45.4,5.54,5,0
2112,2211.2,0,22.1111,262.6,2.112,22.2,11.29,0,0
40,440.8,0,84.84,444.8,9.88,6.4,4.48,0,0
62,282.2,88,80.29,226.8,9.28,26.9,2.86,0,0
82,280.9,0,89.28,282.0,6.98,6.8,2.2,0,0
222,2116.6,211,211.22,2911.9,11.211,20.11,2.211,2,0
28,298.8,0,88.32,326.2,6.88,32.8,2.0,8,0
222,2112.2,112,26.211,2011.11,9.1111,20.11,2.211,0,0
228,206.9,0,88.22,222.8,9.92,2.2,2.08,8,0
2211,202.0,0,112.112,262.11,22.26,20.9,2.92,2,0
322,328.0,32,86.32,289.8,8.82,32.2,8.0,2,0
911,2611.2,0,211.611,296.2,11.1111,22.2,11.011,2,0
28,328.8,32,88.82,320.9,32.29,9.2,2.82,8,0
326,328.8,32,29.82,292.8,28.32,6.9,2.86,2,0
22,262.8,0,22.89,268.9,2.22,6.6,2.28,8,0
110,222.11,0,22.211,292.11,11.1111,211.9,2.29,2,0
20,209.2,0,28.6,326.9,32.26,2.2,2.92,0,0
229,262.2,0,211.26,222.2,11.011,11.9,2.119,2,0
229,244.4,0,24.42,234.9,22.44,24.4,4.34,4,0
223,229.0,23,23.33,202.3,9.03,9.3,2.32,2,0
464,449.4,0,84.48,468.9,4.6,40.4,4.48,4,0
229,229.2,0,20.26,202.2,9.22,22.2,3.29,2,1
49,408.4,0,84.94,446.4,40.44,6.4,4.84,4,0
32,229.2,30,30.26,223.2,20.26,22.2,3.92,2,0
444,404.4,0,84.86,494.8,48.48,48.8,8.89,4,0
222,232.2,22,23.2,296.2,3.33,3.2,2.33,3,0
449,480.9,0,80.48,494.8,8.9,8.8,4.88,8,0
224,242.2,0,42.43,244.2,20.4,22.2,4.29,2,0
20,222.8,0,82.88,228.8,20.06,0.0,0.0,2,0
260,222.2,0,29.2,2211.2,11.02,211.0,11.112,2,0
222,236.2,0,23.22,233.9,3.3,3.6,2.32,0,0
29,2119.2,0,22.2,2211.11,2.119,9.11,2.112,2,1
32,292.3,0,33.63,263.6,2.39,3.9,2.2,2,0
84,449.8,0,44.98,488.8,44.64,44.8,8.84,8,0
22,242.2,22,23.2,223.2,22.24,24.2,4.43,2,0
21111,222.2,22,22.22,2112.11,20.112,11.11,2.112,2,0
222,290.4,0,42.44,220.3,9.94,2.2,2.92,2,0
202,282.8,0,28.22,208.9,2.9,28.8,8.68,0,0
82,262.8,88,22.82,288.9,6.98,28.2,8.2,0,0
222,222.2,0,28.02,228.9,22.22,9.0,2.28,8,1
32,322.2,32,32.02,320.0,9.9,8.6,2.82,2,0
200,289.9,0,22.28,282.2,6.98,22.6,8.28,2,1
26,222.2,0,29.09,92.6,2.22,26.2,2.112,2,0
911,2116.6,0,26.62,292.11,11.611,22.11,11.112,11,0
34,224.4,29,43.32,224.4,4.22,4.4,2.44,2,0
409,498.6,0,84.94,484.8,44.44,48.4,8.84,4,0
455,448.8,0,57.4,85.8,5.86,40.5,4.78,4,0
202,322.8,0,29.82,802.8,28.69,32.0,8.32,0,0
262,228.8,89,82.28,208.2,9.28,2.8,2.92,2,0
64,489.5,0,54.44,480.6,8.45,40.8,4.94,4,0
68,328.8,0,28.8,329.8,8.82,32.2,8.32,8,0
202,240.2,0,22.32,240.3,3.24,24.2,2.2,4,0
68,282.2,0,89.29,292.8,8.62,9.6,2.89,8,0
28,298.0,82,88.66,222.9,9.82,2.6,2.08,2,0
322,326.9,0,80.02,328.2,9.62,20.8,2.82,2,1
32,229.3,0,42.44,242.4,3.94,9.2,2.32,2,0
94,244.2,0,24.94,203.4,9.29,0.0,0.0,0,0
112,222.2,0,26.29,299.11,11.911,6.6,2.211,11,0
408,404.9,0,84.88,408.4,9.84,40.4,4.84,8,0
29,208.8,0,22.6,289.9,20.8,8.2,2.22,2,0
24,290.2,0,42.42,244.2,3.0,4.4,2.22,2,0
62,200.0,0,22.0,228.0,9.82,20.2,2.28,0,0
9,298.8,82,82.98,292.2,8.6,28.8,8.89,2,0
2211,206.2,0,211.02,292.11,11.66,11.2,2.29,2,0
22,226.3,0,33.22,222.2,20.92,3.2,2.22,2,1
288,322.2,82,29.2,296.8,8.82,20.2,2.28,2,0
78,162.3,0,27.59,240.6,10.83,10.1,2.73,2,0
286,208.8,88,82.92,222.2,9.62,6.9,2.86,2,0
2011,2611.2,211,211.02,2110.2,22.211,20.9,2.92,2,0
204,290.9,0,42.24,240.2,20.44,2.4,2.22,2,0
88,322.2,28,32.32,326.6,8.2,28.2,8.62,2,0
112,2119.11,0,112.211,222.9,9.99,22.2,11.02,11,0
88,282.6,82,80.82,202.8,9.88,22.2,8.08,2,0
86,280.8,0,28.89,222.2,22.2,9.0,2.28,2,0
28,296.8,88,88.26,262.8,32.28,2.2,2.08,2,0
206,233.2,0,22.23,232.9,3.29,20.2,2.39,2,1
23,290.2,0,32.33,229.3,9.39,23.0,2.03,6,0
93,226.9,32,29.32,222.2,3.23,22.0,2.92,0,0
223,204.2,0,22.34,429.4,22.42,22.2,4.49,0,0
62,282.8,0,80.99,328.0,32.08,32.2,8.02,2,0
62,93.9,0,26.32,236.6,20.63,22.2,3.29,2,0
328,282.8,0,26.28,82.0,2.28,20.9,2.92,0,0
322,280.0,0,80.6,288.2,20.82,32.8,8.32,2,0
288,322.8,0,32.32,322.8,8.28,32.8,8.26,2,1
156,192.3,27,32.69,244.2,10.99,14.8,4.0,1,0
22,209.2,24,44.34,204.4,9.24,2.2,2.92,2,0
44,468.8,84,44.8,484.0,40.44,4.8,4.44,4,0
92,2116.2,0,211.211,2112.9,6.22,9.6,2.119,0,0
82,268.8,26,28.62,222.8,20.02,6.2,2.82,2,0
1111,1102.11,0,112.26,2112.9,11.911,211.2,11.62,2,1
36,220.2,0,33.22,229.2,6.22,23.3,2.29,2,0
98,229.9,0,89.08,222.2,2.22,22.2,8.88,2,0
88,488.8,0,48.4,446.6,44.48,8.4,4.0,8,0
22,228.2,0,82.92,222.2,9.66,22.2,8.88,2,0
446,468.6,54,45.66,466.5,7.48,44.6,5.45,4,0
204,204.0,0,22.42,220.2,2.33,2.9,2.24,2,0
32,209.3,0,33.62,232.6,6.96,9.9,2.62,2,0
288,226.2,0,29.82,222.8,9.62,9.2,2.62,2,0
229,220.2,1111,112.22,2112.11,20.611,20.2,2.211,2,0
260,282.9,0,89.98,329.8,9.82,28.9,8.28,2,1
40,202.2,0,22.29,242.2,3.2,2.4,2.92,0,0
444,446.8,44,44.44,494.8,8.66,40.6,4.86,4,0
44,404.6,0,84.48,464.6,4.44,40.4,4.89,0,0
2011,220.9,0,26.011,2211.11,11.011,11.11,2.1111,0,1
328,208.2,0,82.88,290.8,8.82,32.0,2.92,2,0
222,222.2,0,116.92,21111.11,22.22,22.0,11.22,0,0
88,222.8,0,29.88,89.6,2.08,22.8,8.26,2,0
82,328.8,0,29.82,320.2,32.26,20.2,2.28,2,0
92,242.2,24,22.29,92.4,2.22,2.4,2.04,0,0
92,92.2,23,23.26,223.6,20.23,9.9,2.62,3,0
222,202.8,0,22.28,292.2,8.62,20.0,2.2,2,0
223,229.4,0,24.44,229.4,3.22,2.9,2.24,2,0
202,2112.2,211,211.116,21111.2,11.22,20.2,2.211,2,0
22,232.2,0,32.92,296.0,3.32,9.2,2.26,0,0
96,666.9,0,96.66,699.6,66.96,6.6,6.96,0,0
80,288.6,0,82.22,202.6,9.22,8.2,2.88,2,0
90,498.8,44,84.86,444.4,9.68,44.4,8.0,0,0
260,222.3,0,29.63,220.3,9.92,3.3,2.22,0,0
489,486.6,0,40.44,444.8,9.88,44.4,8.0,4,0
24,224.2,22,29.44,222.3,2.43,3.4,2.2,2,0
22,234.0,22,24.04,242.2,22.4,2.2,2.04,2,0
62,206.2,0,88.08,282.6,22.82,28.6,8.62,2,0
2211,2211.2,0,29.112,2116.9,2.06,9.2,2.26,2,0
99,94.2,0,23.22,243.0,3.22,4.3,2.42,2,0
286,92.2,0,28.22,222.6,9.82,22.9,8.28,2,0
203,249.3,0,22.24,224.4,20.03,4.4,2.44,0,0
9,222.2,89,86.2,289.2,8.82,20.2,2.28,2,0
23,209.0,0,23.33,232.2,3.29,23.3,3.39,2,1
494,484.8,0,46.84,444.8,40.48,40.6,4.86,8,0
60,228.2,0,22.22,222.8,9.82,22.2,8.02,8,0
88,328.2,0,32.88,280.9,8.32,2.8,2.32,2,0
209,288.2,0,26.28,200.8,9.02,20.2,2.89,0,0
84,446.4,48,44.04,446.4,44.08,8.8,4.44,0,0
204,294.0,0,29.42,224.9,3.24,20.0,2.2,2,0
82,202.8,88,88.28,262.8,2.2,2.8,2.08,2,0
96,460.4,0,44.48,448.8,40.48,9.8,4.84,4,0
90,464.8,0,44.84,486.6,6.48,9.6,4.89,4,0
99,494.4,0,88.84,404.4,9.48,9.9,4.64,4,0
42,224.4,0,24.22,244.3,2.0,4.4,2.22,4,0
200,233.3,0,20.09,63.6,2.36,2.3,2.92,2,0
289,268.0,0,28.08,320.8,2.66,32.6,8.2,2,0
113,245.3,0,41.7,204.3,9.19,10.7,2.89,3,1
24,232.9,0,24.04,233.2,2.22,4.2,2.22,2,0
230,226.3,0,22.32,232.2,20.36,23.2,3.32,2,0
82,262.8,80,22.68,282.8,6.92,2.8,2.22,0,0
98,288.2,0,28.98,206.8,9.29,0.0,0.0,0,0
449,460.4,0,44.44,449.4,40.84,40.0,4.4,4,0
96,464.8,44,44.44,449.4,8.04,44.8,8.08,4,0
282,288.2,0,26.08,262.2,2.2,20.2,2.82,0,0
79,456.8,0,40.46,446.9,5.74,40.4,4.84,4,0
130,120.5,0,20.49,270.1,12.15,14.3,3.86,1,0
222,222.8,0,29.68,228.2,9.69,9.0,2.28,2,1
33,262.3,0,23.02,260.3,2.22,22.3,2.0,2,1
449,448.4,0,49.84,488.4,8.44,9.4,4.64,4,0
22,262.2,0,22.66,21111.11,11.211,11.2,2.1111,0,0
32,220.3,22,20.92,222.6,20.22,2.2,2.92,2,0
88,229.0,0,28.88,268.8,2.88,28.9,8.28,0,0
204,220.9,0,23.04,224.4,4.04,4.4,2.44,0,0
289,222.2,0,88.89,298.9,8.28,8.6,2.82,0,0
2011,2211.9,1111,116.2,2911.2,11.29,211.11,2.29,0,0
98,286.2,0,28.22,288.8,2.28,20.2,2.28,2,0
48,468.4,0,48.68,444.4,9.66,44.4,8.0,4,0
92,222.2,0,22.82,222.6,6.82,28.8,8.28,8,0
222,2119.11,0,112.22,222.2,2.22,20.6,2.116,2,0
86,99.9,80,26.98,282.2,22.26,9.8,2.68,2,0
88,268.2,0,28.22,829.2,28.22,9.6,2.89,2,0
243,222.4,0,29.34,244.2,22.32,22.9,4.24,4,0
74,495.7,55,54.95,458.0,6.44,44.6,5.94,4,0
66,202.2,0,88.82,262.2,32.28,6.8,2.82,2,0
202,228.2,0,29.62,288.2,8.86,6.0,2.62,8,0
22,222.4,42,42.22,222.2,20.24,22.0,4.24,0,0
2112,292.0,0,1111.29,2112.2,6.11,22.6,11.211,2,0
112,2011.11,0,112.6,222.9,9.1111,11.2,2.1111,11,0
88,228.6,0,29.88,289.8,28.08,9.8,2.82,0,0
112,2611.11,22,22.1111,2011.2,9.116,11.11,2.11,11,0
88,292.9,0,82.62,208.2,9.32,32.8,8.86,2,1
262,289.2,22,22.28,222.2,20.98,9.6,2.89,8,0
32,222.2,0,32.39,232.3,22.33,9.3,2.32,0,0
229,262.8,26,22.22,222.2,6.22,6.6,2.28,2,0
68,88.0,0,32.32,328.2,32.06,28.0,8.82,0,0
288,328.2,32,29.28,322.2,8.8,32.6,8.92,0,1
288,288.9,26,82.26,288.2,8.86,28.0,2.08,2,0
222,282.8,22,26.82,202.6,9.82,9.0,2.28,2,0
88,84.8,0,9.48,444.8,40.99,44.6,8.48,8,0
64,494.8,0,88.84,440.8,9.44,9.0,4.48,4,0
2211,2211.11,0,22.2,202.11,9.29,20.2,2.119,11,1
280,268.2,0,22.88,298.8,8.29,28.8,2.92,2,1
229,93.0,0,26.66,232.3,22.22,20.3,2.32,0,0
62,229.0,0,22.98,288.0,20.88,22.2,8.02,2,0
222,223.0,23,29.22,300.0,23.3,2.3,2.3,0,0
98,44.5,0,4.45,469.4,7.64,7.7,4.08,4,0
22,260.2,0,22.22,292.9,8.68,22.8,8.88,2,0
206,292.2,82,88.86,328.6,8.2,32.8,8.82,8,0
82,328.8,0,32.9,202.2,9.09,32.0,8.28,2,0
92,208.2,0,82.88,298.6,8.8,32.0,8.32,8,0
24,224.0,0,43.22,243.2,3.24,24.4,4.34,0,0
20,42.2,0,24.49,222.0,9.42,22.4,4.04,3,0
46,448.8,0,46.46,468.4,4.48,44.0,8.44,4,1
222,228.2,86,29.88,222.6,2.99,20.0,2.2,2,0
2112,2112.11,0,20.112,2611.2,22.1111,22.2,11.1111,0,1
229,286.0,0,82.62,98.9,2.28,22.8,8.22,2,0
328,262.9,32,32.69,320.8,6.82,8.2,2.29,2,0
286,280.8,0,28.89,228.9,9.22,8.8,0.98,2,0
2,282.2,0,22.26,292.6,8.62,9.2,2.26,2,1
288,282.6,0,26.28,862.2,26.88,28.8,2.29,2,0
228,266.9,0,28.82,228.9,20.98,22.8,8.26,8,0
4,448.8,0,44.08,48.4,8.49,8.4,4.0,0,0
